date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:09	39899/39899	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2003:49:09%20GMT	https://pablos-five-star-site-ec8797.webflow.io/	C:/Meus%20Sites/STAR/pablos-five-star-site-ec8797.webflow.io/index.html	(from )
23:49:09	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Mon,%2018%20Sep%202023%2003:49:10%20GMT	https://pablos-five-star-site-ec8797.webflow.io/robots.txt		(from )
23:49:10	58540/58540	---M-Z	200	added ('OK')	text/css	etag:%227426e4d948402c513b463ff93f31bea9%22	https://uploads-ssl.webflow.com/6507a1b275ab5411bd87b9dd/css/pablos-five-star-site-ec8797.webflow.3d44ace3c.css	C:/Meus%20Sites/STAR/uploads-ssl.webflow.com/6507a1b275ab5411bd87b9dd/css/pablos-five-star-site-ec8797.webflow.3d44ace3c.css	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:10	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Meus%20Sites/STAR/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:10	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Meus%20Sites/STAR/uploads-ssl.webflow.com/img/webclip.png	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:11	28660/28660	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2003:49:11%20GMT	https://pablos-five-star-site-ec8797.webflow.io/latest-posts	C:/Meus%20Sites/STAR/pablos-five-star-site-ec8797.webflow.io/latest-posts.html	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:11	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Mon,%2018%20Sep%202023%2003:49:12%20GMT	https://pablos-five-star-site-ec8797.webflow.io/about	C:/Meus%20Sites/STAR/pablos-five-star-site-ec8797.webflow.io/about	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:11	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Mon,%2018%20Sep%202023%2003:49:12%20GMT	https://pablos-five-star-site-ec8797.webflow.io/posts/japan-house-opens	C:/Meus%20Sites/STAR/pablos-five-star-site-ec8797.webflow.io/posts/japan-house-opens	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:12	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Mon,%2018%20Sep%202023%2003:49:12%20GMT	https://pablos-five-star-site-ec8797.webflow.io/category/illustration	C:/Meus%20Sites/STAR/pablos-five-star-site-ec8797.webflow.io/category/illustration	(from https://pablos-five-star-site-ec8797.webflow.io/)
23:49:12	290539/290539	---M--	200	added ('OK')	image/jpeg	etag:%22f549a6b74917b1415ef7f2935f883ba5%22	https://uploads-ssl.webflow.com/6507a1b275ab5411bd87ba1f/6507a1b275ab5411bd87ba98_image-15.jpg	C:/Meus%20Sites/STAR/uploads-ssl.webflow.com/6507a1b275ab5411bd87ba1f/6507a1b275ab5411bd87ba98_image-15.jpg	(from https://pablos-five-star-site-ec8797.webflow.io/)
